tube_assembly_id,spec1
TA-00428,SP-0057
TA-00429,SP-0057
TA-00430,SP-0004
TA-00431,SP-0007
TA-00434,SP-0058
TA-00435,SP-0063
TA-00436,SP-0063
TA-00437,SP-0007
TA-00438,SP-0007
TA-00442,SP-0007
TA-00443,SP-0007
TA-00444,SP-0012
TA-00445,SP-0007
TA-00447,SP-0063
TA-00448,SP-0063
TA-00449,SP-0063
TA-00450,SP-0058
TA-00451,SP-0058
TA-00452,SP-0063
TA-00453,SP-0012
TA-00454,SP-0004
TA-00455,SP-0012
TA-00456,SP-0012
TA-00457,SP-0012
TA-00465,SP-0004
TA-00466,SP-0004
TA-00468,SP-0063
TA-00473,SP-0004
TA-00476,SP-0012
TA-00477,SP-0012
TA-00478,SP-0007
TA-00479,SP-0007
TA-00480,SP-0007
TA-00481,SP-0007
TA-00482,SP-0007
TA-00483,SP-0007
TA-00484,SP-0007
TA-00485,SP-0007
TA-00486,SP-0058
TA-00487,SP-0063
TA-00489,SP-0007
TA-00491,SP-0007
TA-00493,SP-0007
TA-00494,SP-0007
TA-00496,SP-0007
TA-00497,SP-0007
TA-00499,SP-0007
TA-00501,SP-0063
TA-00502,SP-0063
TA-00503,SP-0063
TA-00504,SP-0063
TA-00505,SP-0063
TA-00506,SP-0063
TA-00507,SP-0058
TA-00508,SP-0007
TA-00510,SP-0007
TA-00517,SP-0013
TA-00518,SP-0013
TA-00519,SP-0013
TA-00520,SP-0013
TA-00521,SP-0013
TA-00522,SP-0004
TA-00523,SP-0007
TA-00524,SP-0007
TA-00530,SP-0007
TA-00531,SP-0007
TA-00532,SP-0007
TA-00533,SP-0007
TA-00534,SP-0007
TA-00536,SP-0007
TA-00542,SP-0063
TA-00545,SP-0007
TA-00547,SP-0063
TA-00548,SP-0007
TA-00549,SP-0058
TA-00551,SP-0007
TA-00552,SP-0007
TA-00554,SP-0007
TA-00558,SP-0007
TA-00562,SP-0063
TA-00563,SP-0058
TA-00565,SP-0007
TA-00567,SP-0063
TA-00571,SP-0007
TA-00573,SP-0007
TA-00574,SP-0007
TA-00575,SP-0007
TA-00576,SP-0007
TA-00577,SP-0007
TA-00578,SP-0007
TA-00579,SP-0007
TA-00580,SP-0007
TA-00581,SP-0007
TA-00582,SP-0007
TA-00583,SP-0007
TA-00584,SP-0007
TA-00585,SP-0007
TA-00588,SP-0007
TA-00589,SP-0007
TA-00590,SP-0004
TA-00596,SP-0058
TA-00597,SP-0007
TA-00598,SP-0007
TA-00599,SP-0007
TA-00600,SP-0070
TA-00601,SP-0070
TA-00602,SP-0063
TA-00603,SP-0007
TA-00605,SP-0004
TA-00607,SP-0063
TA-00608,SP-0012
TA-00609,SP-0013
TA-00612,SP-0007
TA-00615,SP-0007
TA-00616,SP-0009
TA-00617,SP-0009
TA-00618,SP-0009
TA-00619,SP-0004
TA-00620,SP-0007
TA-00621,SP-0007
TA-00622,SP-0007
TA-00623,SP-0007
TA-00624,SP-0007
TA-00625,SP-0007
TA-00626,SP-0007
TA-00627,SP-0007
TA-00628,SP-0012
TA-00629,SP-0007
TA-00630,SP-0012
TA-00634,SP-0007
TA-00635,SP-0007
TA-00637,SP-0058
TA-00638,SP-0058
TA-00639,SP-0024
TA-00641,SP-0007
TA-00644,SP-0007
TA-00645,SP-0007
TA-00651,SP-0004
TA-00652,SP-0004
TA-00653,SP-0007
TA-00654,SP-0063
TA-00657,SP-0012
TA-00664,SP-0063
TA-00665,SP-0063
TA-00666,SP-0063
TA-00667,SP-0063
TA-00668,SP-0063
TA-00669,SP-0063
TA-00671,SP-0007
TA-00672,SP-0007
TA-00673,SP-0007
TA-00674,SP-0007
TA-00675,SP-0058
TA-00679,SP-0007
TA-00680,SP-0007
TA-00682,SP-0007
TA-00683,SP-0024
TA-00684,SP-0007
TA-00685,SP-0007
TA-00689,SP-0007
TA-00690,SP-0004
TA-00692,SP-0004
TA-00699,SP-0007
TA-00701,SP-0012
TA-00702,SP-0058
TA-00703,SP-0058
TA-00704,SP-0063
TA-00705,SP-0004
TA-00707,SP-0012
TA-00708,SP-0012
TA-00715,SP-0007
TA-00716,SP-0007
TA-00720,SP-0007
TA-00722,SP-0012
TA-00727,SP-0024
TA-00728,SP-0012
TA-00729,SP-0004
TA-00730,SP-0063
TA-00732,SP-0012
TA-00734,SP-0007
TA-00735,SP-0007
TA-00739,SP-0007
TA-00748,SP-0007
TA-00749,SP-0007
TA-00750,SP-0007
TA-00751,SP-0007
TA-00752,SP-0007
TA-00753,SP-0063
TA-00754,SP-0012
TA-00756,SP-0012
TA-00769,SP-0007
TA-00774,SP-0007
TA-00778,SP-0050
TA-00781,SP-0007
TA-00782,SP-0007
TA-00787,SP-0063
TA-00791,SP-0028
TA-00793,SP-0007
TA-00794,SP-0007
TA-00795,SP-0004
TA-00797,SP-0004
TA-00800,SP-0063
TA-00801,SP-0070
TA-00802,SP-0007
TA-00803,SP-0063
TA-00804,SP-0063
TA-00805,SP-0058
TA-00806,SP-0004
TA-00809,SP-0007
TA-00810,SP-0007
TA-00811,SP-0007
TA-00818,SP-0063
TA-00821,SP-0063
TA-00822,SP-0063
TA-00823,SP-0058
TA-00825,SP-0004
TA-00826,SP-0012
TA-00827,SP-0007
TA-00828,SP-0007
TA-00829,SP-0007
TA-00830,SP-0007
TA-00831,SP-0007
TA-00833,SP-0012
TA-00834,SP-0007
TA-00835,SP-0007
TA-00837,SP-0007
TA-00840,SP-0063
TA-00841,SP-0058
TA-00842,SP-0058
TA-00843,SP-0007
TA-00844,SP-0007
TA-00845,SP-0007
TA-00846,SP-0007
TA-00852,SP-0004
TA-00853,SP-0007
TA-00854,SP-0007
TA-00855,SP-0007
TA-00857,SP-0007
TA-00858,SP-0063
TA-00861,SP-0058
TA-00862,SP-0004
TA-00863,SP-0012
TA-00865,SP-0007
TA-00866,SP-0007
TA-00867,SP-0004
TA-00869,SP-0004
TA-00870,SP-0007
TA-00871,SP-0063
TA-00872,SP-0063
TA-00873,SP-0007
TA-00880,SP-0007
TA-00881,SP-0007
TA-00882,SP-0007
TA-00884,SP-0063
TA-00893,SP-0007
TA-00895,SP-0007
TA-00896,SP-0007
TA-00897,SP-0007
TA-00899,SP-0007
TA-00903,SP-0063
TA-00905,SP-0063
TA-00907,SP-0070
TA-00912,SP-0058
TA-00916,SP-0007
TA-00917,SP-0063
TA-00918,SP-0063
TA-00919,SP-0063
TA-00931,SP-0058
TA-00932,SP-0007
TA-00933,SP-0007
TA-00934,SP-0007
TA-00935,SP-0028
TA-00936,SP-0029
TA-00938,SP-0007
TA-00941,SP-0070
TA-00943,SP-0063
TA-00944,SP-0007
TA-00951,SP-0007
TA-00956,SP-0004
TA-00958,SP-0007
TA-00959,SP-0007
TA-00960,SP-0007
TA-00962,SP-0070
TA-00963,SP-0007
TA-00965,SP-0007
TA-00966,SP-0063
TA-00967,SP-0063
TA-00969,SP-0063
TA-00979,SP-0063
TA-00980,SP-0009
TA-00987,SP-0007
TA-00989,SP-0007
TA-00992,SP-0007
TA-00994,SP-0007
TA-01002,SP-0069
TA-01003,SP-0067
TA-01004,SP-0007
TA-01005,SP-0007
TA-01010,SP-0063
TA-01011,SP-0063
TA-01015,SP-0007
TA-01016,SP-0007
TA-01017,SP-0058
TA-01018,SP-0058
TA-01019,SP-0007
TA-01020,SP-0007
TA-01021,SP-0063
TA-01022,SP-0063
TA-01023,SP-0007
TA-01024,SP-0007
TA-01025,SP-0007
TA-01026,SP-0007
TA-01028,SP-0007
TA-01029,SP-0007
TA-01030,SP-0007
TA-01031,SP-0007
TA-01032,SP-0007
TA-01034,SP-0007
TA-01035,SP-0007
TA-01036,SP-0063
TA-01048,SP-0012
TA-01052,SP-0007
TA-01067,SP-0063
TA-01070,SP-0007
TA-01075,SP-0063
TA-01076,SP-0007
TA-01077,SP-0063
TA-01078,SP-0063
TA-01079,SP-0063
TA-01080,SP-0063
TA-01081,SP-0063
TA-01082,SP-0004
TA-01087,SP-0013
TA-01090,SP-0007
TA-01091,SP-0063
TA-01092,SP-0058
TA-01093,SP-0007
TA-01094,SP-0007
TA-01100,SP-0007
TA-01101,SP-0007
TA-01106,SP-0080
TA-01107,SP-0080
TA-01108,SP-0080
TA-01109,SP-0080
TA-01110,SP-0080
TA-01111,SP-0080
TA-01112,SP-0080
TA-01113,SP-0080
TA-01114,SP-0080
TA-01117,SP-0024
TA-01119,SP-0012
TA-01120,SP-0070
TA-01121,SP-0007
TA-01124,SP-0007
TA-01127,SP-0007
TA-01128,SP-0063
TA-01131,SP-0057
TA-01132,SP-0057
TA-01133,SP-0069
TA-01136,SP-0057
TA-01137,SP-0057
TA-01141,SP-0063
TA-01143,SP-0007
TA-01147,SP-0012
TA-01150,SP-0007
TA-01151,SP-0058
TA-01153,SP-0069
TA-01154,SP-0069
TA-01158,SP-0058
TA-01159,SP-0058
TA-01160,SP-0080
TA-01161,SP-0058
TA-01162,SP-0063
TA-01163,SP-0007
TA-01164,SP-0007
TA-01165,SP-0063
TA-01167,SP-0007
TA-01168,SP-0063
TA-01170,SP-0007
TA-01202,SP-0007
TA-01204,SP-0012
TA-01208,SP-0012
TA-01209,SP-0012
TA-01213,SP-0063
TA-01214,SP-0063
TA-01217,SP-0063
TA-01218,SP-0063
TA-01219,SP-0007
TA-01222,SP-0007
TA-01223,SP-0007
TA-01226,SP-0007
TA-01227,SP-0007
TA-01228,SP-0063
TA-01231,SP-0007
TA-01232,SP-0007
TA-01238,SP-0058
TA-01244,SP-0007
TA-01250,SP-0063
TA-01252,SP-0063
TA-01256,SP-0080
TA-01257,SP-0007
TA-01258,SP-0007
TA-01259,SP-0007
TA-01270,SP-0007
TA-01273,SP-0012
TA-01275,SP-0007
TA-01276,SP-0007
TA-01277,SP-0007
TA-01278,SP-0012
TA-01279,SP-0063
TA-01281,SP-0004
TA-01282,SP-0004
TA-01289,SP-0007
TA-01290,SP-0007
TA-01293,SP-0007
TA-01295,SP-0007
TA-01296,SP-0007
TA-01301,SP-0007
TA-01302,SP-0007
TA-01314,SP-0063
TA-01317,SP-0002
TA-01318,SP-0002
TA-01319,SP-0002
TA-01324,SP-0007
TA-01327,SP-0012
TA-01328,SP-0004
TA-01330,SP-0012
TA-01331,SP-0012
TA-01332,SP-0012
TA-01337,SP-0007
TA-01338,SP-0007
TA-01339,SP-0012
TA-01340,SP-0007
TA-01342,SP-0007
TA-01348,SP-0012
TA-01353,SP-0012
TA-01359,SP-0007
TA-01360,SP-0007
TA-01361,SP-0007
TA-01362,SP-0007
TA-01363,SP-0007
TA-01364,SP-0007
TA-01365,SP-0007
TA-01368,SP-0012
TA-01369,SP-0009
TA-01372,SP-0007
TA-01373,SP-0007
TA-01376,SP-0007
TA-01377,SP-0007
TA-01384,SP-0007
TA-01389,SP-0007
TA-01394,SP-0007
TA-01396,SP-0063
TA-01397,SP-0004
TA-01399,SP-0007
TA-01409,SP-0004
TA-01410,SP-0080
TA-01411,SP-0004
TA-01415,SP-0058
TA-01416,SP-0028
TA-01417,SP-0007
TA-01426,SP-0007
TA-01427,SP-0063
TA-01432,SP-0007
TA-01440,SP-0080
TA-01448,SP-0012
TA-01450,SP-0070
TA-01451,SP-0080
TA-01452,SP-0007
TA-01453,SP-0007
TA-01454,SP-0063
TA-01456,SP-0022
TA-01457,SP-0007
TA-01459,SP-0070
TA-01460,SP-0009
TA-01461,SP-0063
TA-01467,SP-0012
TA-01473,SP-0063
TA-01474,SP-0063
TA-01475,SP-0063
TA-01476,SP-0063
TA-01477,SP-0070
TA-01482,SP-0063
TA-01483,SP-0063
TA-01487,SP-0012
TA-01488,SP-0012
TA-01489,SP-0007
TA-01490,SP-0007
TA-01493,SP-0012
TA-01495,SP-0063
TA-01496,SP-0063
TA-01498,SP-0007
TA-01499,SP-0007
TA-01502,SP-0007
TA-01503,SP-0007
TA-01507,SP-0007
TA-01511,SP-0007
TA-01513,SP-0012
TA-01514,SP-0012
TA-01515,SP-0070
TA-01520,SP-0004
TA-01521,SP-0004
TA-01522,SP-0004
TA-01523,SP-0004
TA-01532,SP-0063
TA-01534,SP-0007
TA-01535,SP-0007
TA-01536,SP-0012
TA-01537,SP-0063
TA-01538,SP-0007
TA-01539,SP-0007
TA-01540,SP-0007
TA-01541,SP-0007
TA-01542,SP-0007
TA-01543,SP-0007
TA-01544,SP-0007
TA-01549,SP-0007
TA-01550,SP-0063
TA-01560,SP-0012
TA-01563,SP-0007
TA-01564,SP-0004
TA-01565,SP-0004
TA-01569,SP-0063
TA-01576,SP-0007
TA-01577,SP-0007
TA-01578,SP-0007
TA-01579,SP-0007
TA-01580,SP-0007
TA-01584,SP-0024
TA-01586,SP-0004
TA-01588,SP-0012
TA-01590,SP-0007
TA-01594,SP-0080
TA-01598,SP-0007
TA-01601,SP-0004
TA-01605,SP-0012
TA-01606,SP-0004
TA-01607,SP-0063
TA-01608,SP-0063
TA-01610,SP-0007
TA-01611,SP-0007
TA-01612,SP-0007
TA-01615,SP-0007
TA-01616,SP-0004
TA-01620,SP-0012
TA-01621,SP-0047
TA-01622,SP-0007
TA-01623,SP-0007
TA-01626,SP-0004
TA-01628,SP-0007
TA-01629,SP-0004
TA-01632,SP-0058
TA-01633,SP-0058
TA-01636,SP-0007
TA-01637,SP-0057
TA-01638,SP-0057
TA-01643,SP-0007
TA-01644,SP-0007
TA-01656,SP-0007
TA-01657,SP-0069
TA-01660,SP-0058
TA-01661,SP-0007
TA-01662,SP-0007
TA-01674,SP-0007
TA-01675,SP-0007
TA-01677,SP-0007
TA-01683,SP-0070
TA-01686,SP-0012
TA-01687,SP-0007
TA-01690,SP-0012
TA-01691,SP-0012
TA-01698,SP-0058
TA-01703,SP-0007
TA-01707,SP-0007
TA-01708,SP-0007
TA-01709,SP-0004
TA-01710,SP-0063
TA-01713,SP-0058
TA-01714,SP-0007
TA-01716,SP-0007
TA-01717,SP-0004
TA-01725,SP-0007
TA-01726,SP-0007
TA-01727,SP-0007
TA-01731,SP-0007
TA-01732,SP-0007
TA-01733,SP-0007
TA-01734,SP-0007
TA-01739,SP-0004
TA-01748,SP-0058
TA-01749,SP-0058
TA-01750,SP-0058
TA-01753,SP-0007
TA-01754,SP-0007
TA-01756,SP-0007
TA-01764,SP-0069
TA-01765,SP-0063
TA-01776,SP-0024
TA-01779,SP-0012
TA-01780,SP-0012
TA-01783,SP-0007
TA-01784,SP-0007
TA-01785,SP-0063
TA-01790,SP-0007
TA-01791,SP-0007
TA-01792,SP-0007
TA-01797,SP-0007
TA-01798,SP-0058
TA-01800,SP-0058
TA-01801,SP-0063
TA-01802,SP-0063
TA-01803,SP-0063
TA-01804,SP-0012
TA-01805,SP-0007
TA-01806,SP-0007
TA-01808,SP-0007
TA-01812,SP-0063
TA-01817,SP-0007
TA-01818,SP-0063
TA-01819,SP-0063
TA-01820,SP-0063
TA-01821,SP-0063
TA-01822,SP-0063
TA-01823,SP-0063
TA-01825,SP-0007
TA-01826,SP-0007
TA-01829,SP-0007
TA-01830,SP-0058
TA-01835,SP-0007
TA-01839,SP-0063
TA-01840,SP-0063
TA-01841,SP-0063
TA-01842,SP-0063
TA-01852,SP-0012
TA-01853,SP-0007
TA-01854,SP-0063
TA-01857,SP-0007
TA-01861,SP-0007
TA-01862,SP-0009
TA-01865,SP-0007
TA-01868,SP-0004
TA-01872,SP-0004
TA-01873,SP-0012
TA-01891,SP-0004
TA-01894,SP-0063
TA-01895,SP-0063
TA-01896,SP-0063
TA-01897,SP-0007
TA-01902,SP-0012
TA-01908,SP-0012
TA-01912,SP-0012
TA-01914,SP-0007
TA-01915,SP-0063
TA-01916,SP-0063
TA-01917,SP-0063
TA-01918,SP-0063
TA-01919,SP-0063
TA-01921,SP-0012
TA-01922,SP-0063
TA-01923,SP-0063
TA-01926,SP-0007
TA-01931,SP-0063
TA-01934,SP-0063
TA-01936,SP-0012
TA-01938,SP-0007
TA-01939,SP-0007
TA-01942,SP-0004
TA-01945,SP-0007
TA-01947,SP-0004
TA-01948,SP-0007
TA-01950,SP-0012
TA-01952,SP-0004
TA-01954,SP-0007
TA-01959,SP-0007
TA-01968,SP-0058
TA-01969,SP-0058
TA-01970,SP-0058
TA-01972,SP-0007
TA-01975,SP-0007
TA-01977,SP-0007
TA-01978,SP-0007
TA-01979,SP-0007
TA-01980,SP-0058
TA-01981,SP-0063
TA-01982,SP-0063
TA-01985,SP-0007
TA-01986,SP-0007
TA-01990,SP-0063
TA-01992,SP-0026
TA-01994,SP-0007
TA-01995,SP-0007
TA-01996,SP-0007
TA-01997,SP-0007
TA-02000,SP-0004
TA-02003,SP-0007
TA-02006,SP-0012
TA-02013,SP-0007
TA-02035,SP-0007
TA-02051,SP-0058
TA-02062,SP-0070
TA-02068,SP-0007
TA-02071,SP-0012
TA-02075,SP-0007
TA-02076,SP-0004
TA-02079,SP-0012
TA-02082,SP-0070
TA-02086,SP-0063
TA-02087,SP-0063
TA-02088,SP-0063
TA-02090,SP-0007
TA-02091,SP-0007
TA-02092,SP-0007
TA-02093,SP-0007
TA-02094,SP-0007
TA-02095,SP-0007
TA-02097,SP-0007
TA-02098,SP-0063
TA-02099,SP-0063
TA-02101,SP-0007
TA-02103,SP-0007
TA-02104,SP-0007
TA-02106,SP-0004
TA-02108,SP-0063
TA-02109,SP-0063
TA-02110,SP-0063
TA-02111,SP-0063
TA-02112,SP-0063
TA-02113,SP-0063
TA-02114,SP-0063
TA-02118,SP-0007
TA-02120,SP-0063
TA-02121,SP-0063
TA-02122,SP-0004
TA-02127,SP-0063
TA-02128,SP-0007
TA-02130,SP-0058
TA-02131,SP-0058
TA-02132,SP-0063
TA-02133,SP-0063
TA-02139,SP-0004
TA-02140,SP-0063
TA-02141,SP-0063
TA-02143,SP-0058
TA-02144,SP-0058
TA-02145,SP-0058
TA-02146,SP-0058
TA-02147,SP-0058
TA-02148,SP-0059
TA-02151,SP-0063
TA-02152,SP-0007
TA-02155,SP-0063
TA-02156,SP-0016
TA-02158,SP-0007
TA-02159,SP-0007
TA-02160,SP-0007
TA-02161,SP-0007
TA-02162,SP-0007
TA-02163,SP-0007
TA-02166,SP-0063
TA-02167,SP-0063
TA-02168,SP-0063
TA-02171,SP-0007
TA-02175,SP-0063
TA-02176,SP-0063
TA-02177,SP-0063
TA-02178,SP-0063
TA-02179,SP-0063
TA-02180,SP-0063
TA-02181,SP-0063
TA-02187,SP-0058
TA-02188,SP-0057
TA-02189,SP-0057
TA-02190,SP-0057
TA-02192,SP-0058
TA-02202,SP-0070
TA-02204,SP-0007
TA-02205,SP-0063
TA-02206,SP-0063
TA-02208,SP-0063
TA-02210,SP-0007
TA-02212,SP-0007
TA-02213,SP-0063
TA-02214,SP-0063
TA-02215,SP-0063
TA-02216,SP-0063
TA-02217,SP-0063
TA-02218,SP-0063
TA-02219,SP-0063
TA-02221,SP-0007
TA-02222,SP-0007
TA-02223,SP-0063
TA-02224,SP-0007
TA-02225,SP-0058
TA-02226,SP-0058
TA-02227,SP-0007
TA-02228,SP-0050
TA-02230,SP-0007
TA-02231,SP-0007
TA-02234,SP-0007
TA-02235,SP-0007
TA-02236,SP-0007
TA-02238,SP-0058
TA-02239,SP-0004
TA-02240,SP-0063
TA-02241,SP-0063
TA-02242,SP-0063
TA-02245,SP-0012
TA-02246,SP-0024
TA-02248,SP-0058
TA-02249,SP-0058
TA-02250,SP-0004
TA-02251,SP-0058
TA-02252,SP-0004
TA-02253,SP-0012
TA-02254,SP-0012
TA-02255,SP-0007
TA-02256,SP-0007
TA-02258,SP-0007
TA-02262,SP-0063
TA-02263,SP-0004
TA-02264,SP-0004
TA-02265,SP-0004
TA-02269,SP-0012
TA-02273,SP-0012
TA-02276,SP-0063
TA-02280,SP-0012
TA-02281,SP-0007
TA-02283,SP-0007
TA-02287,SP-0007
TA-02288,SP-0007
TA-02289,SP-0007
TA-02290,SP-0007
TA-02291,SP-0007
TA-02292,SP-0007
TA-02293,SP-0007
TA-02294,SP-0007
TA-02295,SP-0007
TA-02296,SP-0007
TA-02297,SP-0007
TA-02298,SP-0007
TA-02299,SP-0007
TA-02300,SP-0007
TA-02301,SP-0007
TA-02302,SP-0007
TA-02304,SP-0007
TA-02306,SP-0063
TA-02307,SP-0063
TA-02309,SP-0013
TA-02312,SP-0007
TA-02313,SP-0007
TA-02314,SP-0007
TA-02318,SP-0058
TA-02322,SP-0007
TA-02327,SP-0012
TA-02330,SP-0007
TA-02331,SP-0007
TA-02333,SP-0007
TA-02340,SP-0063
TA-02341,SP-0007
TA-02342,SP-0007
TA-02344,SP-0007
TA-02345,SP-0007
TA-02346,SP-0007
TA-02347,SP-0007
TA-02364,SP-0007
TA-02365,SP-0007
TA-02367,SP-0012
TA-02369,SP-0007
TA-02372,SP-0007
TA-02373,SP-0007
TA-02374,SP-0007
TA-02375,SP-0007
TA-02378,SP-0007
TA-02379,SP-0007
TA-02380,SP-0007
TA-02381,SP-0007
TA-02382,SP-0007
TA-02383,SP-0007
TA-02385,SP-0007
TA-02386,SP-0007
TA-02388,SP-0007
TA-02389,SP-0007
TA-02392,SP-0004
TA-02395,SP-0063
TA-02396,SP-0063
TA-02397,SP-0012
TA-02398,SP-0012
TA-02401,SP-0007
TA-02402,SP-0004
TA-02403,SP-0007
TA-02404,SP-0012
TA-02405,SP-0007
TA-02407,SP-0004
TA-02408,SP-0007
TA-02409,SP-0007
TA-02410,SP-0007
TA-02412,SP-0063
TA-02414,SP-0063
TA-02421,SP-0058
TA-02422,SP-0024
TA-02423,SP-0007
TA-02425,SP-0007
TA-02433,SP-0007
TA-02434,SP-0007
TA-02435,SP-0007
TA-02437,SP-0007
TA-02439,SP-0012
TA-02444,SP-0012
TA-02448,SP-0007
TA-02450,SP-0004
TA-02451,SP-0007
TA-02452,SP-0007
TA-02454,SP-0007
TA-02457,SP-0007
TA-02458,SP-0007
TA-02459,SP-0007
TA-02461,SP-0007
TA-02462,SP-0058
TA-02463,SP-0007
TA-02466,SP-0007
TA-02471,SP-0012
TA-02472,SP-0004
TA-02478,SP-0004
TA-02479,SP-0004
TA-02480,SP-0004
TA-02481,SP-0004
TA-02487,SP-0026
TA-02488,SP-0068
TA-02489,SP-0012
TA-02490,SP-0058
TA-02495,SP-0007
TA-02497,SP-0007
TA-02501,SP-0007
TA-02502,SP-0007
TA-02503,SP-0007
TA-02504,SP-0007
TA-02505,SP-0007
TA-02506,SP-0007
TA-02507,SP-0007
TA-02508,SP-0007
TA-02509,SP-0007
TA-02510,SP-0007
TA-02511,SP-0007
TA-02514,SP-0007
TA-02515,SP-0007
TA-02521,SP-0007
TA-02523,SP-0007
TA-02527,SP-0058
TA-02528,SP-0004
TA-02529,SP-0063
TA-02530,SP-0063
TA-02531,SP-0007
TA-02532,SP-0007
TA-02533,SP-0002
TA-02534,SP-0004
TA-02535,SP-0004
TA-02541,SP-0063
TA-02543,SP-0063
TA-02544,SP-0063
TA-02545,SP-0063
TA-02547,SP-0063
TA-02548,SP-0063
TA-02549,SP-0063
TA-02550,SP-0058
TA-02551,SP-0058
TA-02552,SP-0063
TA-02553,SP-0058
TA-02554,SP-0058
TA-02555,SP-0058
TA-02556,SP-0002
TA-02559,SP-0063
TA-02562,SP-0063
TA-02563,SP-0058
TA-02564,SP-0063
TA-02565,SP-0063
TA-02566,SP-0063
TA-02567,SP-0063
TA-02568,SP-0063
TA-02569,SP-0063
TA-02570,SP-0058
TA-02572,SP-0007
TA-02573,SP-0007
TA-02586,SP-0063
TA-02587,SP-0063
