name	country	sector	marketvalue 	pricechange	dividend 	mtb	roi	free	volatility 
Pernod-Ricard	FR	BEVERAGES	10144.84	42.2	1.55	3.17	17.12	83	4
Peugeot	FR	AUTOMOBILES	8321	4.5	3.41	0.91	11.58	70	3
PPR	FR	GENERAL RETAILERS	8318.34	21.3	2.41	1.23	14.41	57	4
Publicis Groupe	FR	MEDIA	4419.48	35.1	1.14	5.29	28.93	80	5
Renault	FR	AUTOMOBILES	16671.8	22.1	4.49	1.13	27.17	70	4
Saint Gobain	FR	CONSTRUCTION & MATERIALS	13832.89	23.7	2.68	1.31	9.77	94	4
Sanofi-Aventis	FR	PHARMACEUTICALS	73745.5	22.8	2.48	2.34	-63.22	77	3
Schneider Elte	FR	ELECTRONIC EQUIP	13539.27	42.7	2.89	1.59	7.46	100	6
Societe Generale	FR	BANKS	37351.12	55.7	3.61	1.78	18.52	93	6
STMicroelectronics (PAR)	FR	TECHNOLOGY HARDWARE	9274.1	13.8	0.77	1.92	3.2	66	5
Suez	FR	"GAS, WATER, UTILITIES"	29932.74	69.9	3.09	2.53	26.19	93	7
Thales (ex Thomson-CSF)	FR	AEROSPACE & DEFENCE	4292	12.4	2.41	2.89	9.85	49	4
Thomson	FR	MEDIA	2897.25	-27.5	2.22	1	-17.75	95	5
Total	FR	OIL & GAS PRODUCERS	90109.56	17.9	3.5	3.25	31.61	100	4
Veolia Environment	FR	"GAS, WATER, UTILITIES"	12587.88	65.2	1.52	3.29	3.6	74	7
Vinci (ex SGE)	FR	CONSTRUCTION & MATERIALS	11484.63	51.9	2.69	2.95	28.47	91	5
Vivendi Universal	FR	MEDIA	23067.46	23.1	3.81	1.85	6.32	100	3
Allied Irish Banks	IR	BANKS	11654.2	21.1	3.37	2.38	20.4	94	3
Ang. Ir. Bk.	IR	BANKS	6604.78	31.9	1.01	3.63	39.6	95	6
Bank of Ireland	IR	BANKS	10301.2	24.8	3.08	2.49	25.46	94	3
CRH	IR	CONSTRUCTION & MATERIALS	10452.5	38.8	1.38	2.01	16.02	92	5
DCC	IR	SUPPORT SERVICES	1077.77	9.3	2.04	2.92	17.84	77	4
Elan	IR	PHARMACEUTICALS	3324.58	103.3	0	20.01	-44.92	92	15
FBD Holdings	IR	NON-LIFE INSURANCE	1030.4	85.6	1.21	2.17	39.99	85	8
Fyffes	IR	FOODS	549.22	1	3.04	1.89	22.99	71	4
Grafton Group	IR	SUPPORT SERVICES	1765.3	12.6	0	3.24	24.92	69	4
Greencore Group	IR	FOODS	513.98	18.4	3.32	3.23	-20.16	86	3
IAWS Group 'A'	IR	FOODS	1233.78	21	0.9	3.59	27.28	71	4
Independent News and Media	IR	MEDIA	1351.43	9.3	4.13	6.31	33.56	58	3
Irish Life & Perm.	IR	LIFE INSURANCE	3628.85	37.4	3.13	1.62	20.07	93	5
Kerry Group 'A' 	IR	FOODS	2558.93	8.5	0.81	3.15	15.85	69	3
Kingspan Group	IR	CONSTRUCTION & MATERIALS	1447.87	29.3	1.08	3.86	28.17	74	4
Paddy Power	IR	TRAVEL & LEISURE	458.33	-7	1.57	7.52	52.57	50	4
Ryanair	IR	TRAVEL & LEISURE	4143.86	26.1	0	2.64	18.33	60	5
United Drug	IR	FOOD & DRUG RETAILERS	573.77	9.9	1.47	3.08	21.65	79	3
Bezeq	IS	FIXED-LINE TELECOMMS	1957.29	14	0	1.91	7.91	36	4
Blue Square ISR	IS	FOOD & DRUG RETAILERS	253.43	22.6	0	2.05	5.84	23	4
Blue Square Pro	IS	FOOD & DRUG RETAILERS	186.94	2	5.26	2.77	8.51	19	4
Clal Industries	IS	GENERAL FINANCIAL	461.85	5.4	6.66	1.69	15.94	37	4
Clal Insurance Ents. Hdg.	IS	NON-LIFE INSURANCE	585.24	-3.2	4.78	 	26.81	44	3
Delek Group	IS	OIL & GAS PRODUCERS	862.33	75.3	2.54	2.27	32.03	27	9
Discount Bk.	IS	BANKS	1105.08	51	0	0.86	9.31	43	8
Discount Investments	IS	GENERAL FINANCIAL	677.04	-3.9	7.02	1.6	24.06	42	3
Elbit Systems	IS	AEROSPACE & DEFENCE	583.64	10	0.47	2.54	11.96	59	3
ICL	IS	CHEMICALS	2773.9	51.6	1.85	2.51	26.96	41	6
IDB Development	IS	GENERAL FINANCIAL	935.32	-2.8	7.22	1.62	27.37	27	3
IDB Holdings	IS	GENERAL INDUSTRIALS	483.85	5.1	15.77	1.83	29.38	25	3
Industrail Bldg	IS	CONSTRUCTION & MATERIALS	275	40.8	1.77	1.29	9.29	16	6
International 5	IS	BANKS	405.06	74.9	1.43	4.07	6.92	25	9
Israel Corporation	IS	CHEMICALS	1547.82	55.5	0.6	1.82	63.41	33	7
Koor Industries	IS	CHEMICALS	489.09	1	5.76	1.94	8.33	60	3
Leumi	IS	BANKS	3140.15	45.3	4.31	1.13	13.11	53	7
MA Industries	IS	CHEMICALS	1370.61	5.4	2.27	2.5	25.35	63	3
Migdal Ins & Fin Hldg	IS	LIFE INSURANCE	812.11	2.8	8.33	2.92	22.13	16	3
Mizrahi Tefahot Bank	IS	BANKS	745.71	32.3	2.48	0.97	9.96	49	5
Osem Investment	IS	FOODS	467.04	-4.9	3.16	4.61	21.09	31	3
Partner Communications	IS	MOBILE TELECOMMS	683.07	-11.4	1.57	4.26	43.84	48	3
Poalim	IS	BANKS	3455.63	47.2	5.87	1.21	14.78	76	7
Super Sol	IS	FOOD & DRUG RETAILERS	351.16	14.4	5.26	1.51	1.18	39	3
Teva PHARMACEUTICALSaceutical	IS	PHARMACEUTICALS	18791.63	52.3	0.27	3.49	10.29	100	7
Advtech	SA	GENERAL RETAILERS	83.15	67.8	0	1.88	18.42	70	8
African Bank Invs.	SA	GENERAL FINANCIAL	1311.29	79.4	4.17	4.79	35.64	100	9
Argent Industrial	SA	GENERAL INDUSTRIALS	98.02	29.4	1.85	1.9	31.29	89	5
Astrapak	SA	GENERAL INDUSTRIALS	176.05	34	1.57	2.89	35.47	51	5
Barloworld	SA	GENERAL INDUSTRIALS	2750.53	39.3	3.41	2.2	16.7	87	5
Brait SA. (JSE)	SA	GENERAL FINANCIAL	255.7	123.7	19.82	 	 	76	10
Brandcorp	SA	GENERAL RETAILERS	72.31	28.3	4.29	2.39	41.97	73	6
Cadiz	SA	GENERAL FINANCIAL	97.42	48.1	3.87	2.39	24.13	63	7
Cashbuild	SA	GENERAL RETAILERS	125.11	76.2	1.98	5	45.7	71	7
Combined Motor	SA	GENERAL RETAILERS	204.78	194.1	1.69	2.28	41.6	27	13
Coronation Fd. Mgrs.	SA	GENERAL FINANCIAL	219.1	81.6	0.16	9.55	82.13	100	8
Edgars Cons. Stores	SA	GENERAL RETAILERS	1896.64	49	3.89	4.33	46.53	90	5
Ellerine	SA	GENERAL RETAILERS	916.38	65.3	1.73	1.7	29.42	77	8
Foschini	SA	GENERAL RETAILERS	1287.72	71	3.05	3.25	33.49	87	8
Investec	SA	GENERAL FINANCIAL	1314.96	91.3	2.66	1.03	13.57	67	8
Investec (JSE)	SA	GENERAL FINANCIAL	2243.28	90.3	2.59	 	 	80	8
JD Group	SA	GENERAL RETAILERS	1407.24	46.6	4	2.73	30.31	77	6
Kap Intl.	SA	GENERAL INDUSTRIALS	152.27	31.7	1.25	1.43	147.99	94	5
Massmart	SA	GENERAL RETAILERS	1076.88	43.1	3.37	5.82	34.66	90	5
MR Price Group	SA	GENERAL RETAILERS	436.95	81.1	2.23	2.28	31.2	84	9
Nampak	SA	GENERAL INDUSTRIALS	991.98	11.8	4.94	1.93	14.47	100	3
New Clicks Hdg	SA	GENERAL RETAILERS	368.98	31.8	2.72	2.24	14.91	73	5
Peregrine	SA	GENERAL FINANCIAL	170.6	147.7	1.45	1.55	22.95	100	10
PSG Group	SA	GENERAL FINANCIAL	235.25	244.5	0	2.02	30.65	100	16
Remgro	SA	GENERAL FINANCIAL	5873.88	46.4	2.46	1.31	29.59	92	5
Truworths Intl.	SA	GENERAL RETAILERS	1188.43	73	2.99	4.7	43.54	72	8
Unitrans	SA	GENERAL RETAILERS	373	46.3	0	1.67	20.63	34	5
Woolworths Hdg.	SA	GENERAL RETAILERS	1290.37	63.8	2.44	4.39	28.12	90	8
